"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","1","","0"
"1","Lieferadresse","0","Rechnungsadresse Desktop","0","0","Login und Rechnungsadresse bearbeiten","0"
"0","Navigation","0","Desktop Navigation und Breadcrumbs","1","0","Komplette Navigation und Breadcrumbs prüfen","0"
"0","Login","1","Negativer Desktop Login","0","0","Login mit ungültigen Zugangsdaten","0"
"0","Registrierung","0","Negative Registrierung Desktop","1","0","Registrierung ohne Datenschutzerklärung","0"
"1","Lieferadresse","0","Negative Rechnungsadresse Desktop","0","0","Validierungsfehler bei Rechnungsadresse","0"
"0","Registrierung","0","Negative Registrierung Desktop","1","0","Registrierung mit leerer E-Mail","0"
"0","Registrierung","0","Negative Registrierung Desktop","1","0","Registrierung mit leerem Passwort","0"
"1","Login","0","Desktop Login","0","0","Login mit gültigen Daten","0"
"0","Registrierung","0","Desktop Registrierung","1","0","Nutzer kann sich registrieren","0"
