"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10580","testLoginAndEditBillingAddress()","","Mon Jul 07 15:28:45 CEST 2025","broken","Mon Jul 07 15:28:55 CEST 2025","","tests.desktop.LieferadresseDesktopTest","tests.desktop.LieferadresseDesktopTest","testLoginAndEditBillingAddress"
"","22825","testFullNavigationAndBreadcrumbs()","","Mon Jul 07 15:28:01 CEST 2025","passed","Mon Jul 07 15:28:24 CEST 2025","","tests.desktop.NavigationDesktopTest","tests.desktop.NavigationDesktopTest","testFullNavigationAndBreadcrumbs"
"","0","testBestellprozessDesktop()","","Mon Jul 07 15:24:00 CEST 2025","skipped","Mon Jul 07 15:24:00 CEST 2025","","tests.desktop.BestellprozessDesktopTest","tests.desktop.BestellprozessDesktopTest","testBestellprozessDesktop"
"","10965","testRegistrationWithoutDataPrivacy()","","Mon Jul 07 11:20:47 CEST 2025","broken","Mon Jul 07 11:20:58 CEST 2025","","tests.mobile.RegistrationMobileNegativeTest","tests.mobile.RegistrationMobileNegativeTest","testRegistrationWithoutDataPrivacy"
"","15278","testLoginDesktop()","","Mon Jul 07 15:23:28 CEST 2025","broken","Mon Jul 07 15:23:44 CEST 2025","","tests.desktop.LoginDesktopTest","tests.desktop.LoginDesktopTest","testLoginDesktop"
"","5917","testRegistrationWithEmptyPassword()","","Mon Jul 07 15:23:44 CEST 2025","passed","Mon Jul 07 15:23:50 CEST 2025","","tests.desktop.RegistrationDesktopNegativeTest","tests.desktop.RegistrationDesktopNegativeTest","testRegistrationWithEmptyPassword"
"","7209","testBestellprozessMobile()","","Fri Jul 04 19:35:08 CEST 2025","broken","Fri Jul 04 19:35:15 CEST 2025","","tests.mobile.BestellprozessMobileTest","tests.mobile.BestellprozessMobileTest","testBestellprozessMobile"
"","4928","testRegistrationWithEmptyEmail()","","Mon Jul 07 15:23:50 CEST 2025","passed","Mon Jul 07 15:23:55 CEST 2025","","tests.desktop.RegistrationDesktopNegativeTest","tests.desktop.RegistrationDesktopNegativeTest","testRegistrationWithEmptyEmail"
"","5968","testRegistrationWithoutDataPrivacy()","","Mon Jul 07 15:23:55 CEST 2025","passed","Mon Jul 07 15:24:00 CEST 2025","","tests.desktop.RegistrationDesktopNegativeTest","tests.desktop.RegistrationDesktopNegativeTest","testRegistrationWithoutDataPrivacy"
"","10874","testRegistrationDesktop()","","Mon Jul 07 15:50:23 CEST 2025","passed","Mon Jul 07 15:50:34 CEST 2025","","tests.desktop.RegistrationDesktopTest","tests.desktop.RegistrationDesktopTest","testRegistrationDesktop"
"","12998","testRegistrationWithEmptyPassword()","","Mon Jul 07 11:20:23 CEST 2025","broken","Mon Jul 07 11:20:36 CEST 2025","","tests.mobile.RegistrationMobileNegativeTest","tests.mobile.RegistrationMobileNegativeTest","testRegistrationWithEmptyPassword"
"","20771","testEditBillingAddressValidationErrors()","","Mon Jul 07 15:28:24 CEST 2025","broken","Mon Jul 07 15:28:45 CEST 2025","","tests.desktop.LieferadresseDesktopNegativTest","tests.desktop.LieferadresseDesktopNegativTest","testEditBillingAddressValidationErrors"
"","12077","testRegistrationMobile()","","Mon Jul 07 11:24:21 CEST 2025","passed","Mon Jul 07 11:24:33 CEST 2025","","tests.mobile.RegistrationMobileTest","tests.mobile.RegistrationMobileTest","testRegistrationMobile"
"","11080","testRegistrationWithEmptyEmail()","","Mon Jul 07 11:20:36 CEST 2025","broken","Mon Jul 07 11:20:47 CEST 2025","","tests.mobile.RegistrationMobileNegativeTest","tests.mobile.RegistrationMobileNegativeTest","testRegistrationWithEmptyEmail"
"","15937","testLoginWithInvalidCredentials()","","Mon Jul 07 15:23:05 CEST 2025","failed","Mon Jul 07 15:23:21 CEST 2025","","tests.desktop.LoginDesktopNegativeTest","tests.desktop.LoginDesktopNegativeTest","testLoginWithInvalidCredentials"
